image,gt_chars,extra_dets
ScreenShot2024_0817_114356614,1,0
ScreenShot2024_0817_120209158,1,0
ScreenShot2024_0817_120433666,0,0
ScreenShot2024_0817_120617361,0,0
ScreenShot2024_0917_210928523,0,0
ScreenShot2025_0119_233552498,1,0
ScreenShot2025_0123_022922906,1,0
ScreenShot2025_0124_213131356,1,0
ScreenShot2025_0124_215340926,1,0
ScreenShot2025_0124_215358500,1,0
ScreenShot2025_0125_101428348,1,0
ScreenShot2025_0125_101507380,1,0
ScreenShot2025_0125_101511379,1,0
ScreenShot2025_0125_120309454,1,0
ScreenShot2025_0125_130014826,1,0
ScreenShot2025_0126_023407588,1,0
ScreenShot2025_0126_024604245,1,0
ScreenShot2025_0126_031805738,1,0
ScreenShot2025_0126_032337707,1,0
ScreenShot2025_0126_130132611,1,0
ScreenShot2025_0126_160605441,1,0
ScreenShot2025_0126_160719284,1,0
ScreenShot2025_0127_005317465,1,0
ScreenShot2025_0127_025200149,1,0
ScreenShot2025_0128_192029584,1,0
ScreenShot2025_0128_222844263,1,0
ScreenShot2025_0129_103432015,2,0
ScreenShot2025_0129_103432224,2,0
ScreenShot2025_0130_232616907,1,0
ScreenShot2025_0131_000557215,1,0
ScreenShot2025_0201_010148670,4,0
ScreenShot2025_0202_024051885,1,0
ScreenShot2025_0202_024249604,0,0
ScreenShot2025_0202_024334001,2,0
ScreenShot2025_0202_024513981,1,0
ScreenShot2025_0202_024638982,1,0
ScreenShot2025_0203_213031570,0,0
ScreenShot2025_0204_011534257,1,0
ScreenShot2025_0204_224237558,1,0
ScreenShot2025_0204_224740571,1,0
ScreenShot2025_0205_220842212,1,0
ScreenShot2025_0206_205755882,2,0
ScreenShot2025_0206_221844937,0,0
ScreenShot2025_0206_222926912,2,0
ScreenShot2025_0206_223359600,1,0
ScreenShot2025_0208_003425805,1,0
ScreenShot2025_0208_004313774,3,0
ScreenShot2025_0209_230117577,0,0
ScreenShot2025_0209_230117924,0,0
ScreenShot2025_0209_230118120,0,0
ScreenShot2025_0211_010110477,0,0
ScreenShot2025_0211_010213359,1,0
ScreenShot2025_0211_010350576,0,0
ScreenShot2025_0211_234043970,1,0
ScreenShot2025_0216_185806522,1,0
ScreenShot2025_0216_191327417,1,0
ScreenShot2025_0216_193455246,1,0
ScreenShot2025_0216_214210665,1,0
ScreenShot2025_0216_214225561,1,0
ScreenShot2025_0216_222055469,1,0
ScreenShot2025_0216_222512940,1,0
ScreenShot2025_0216_222600090,3,0
ScreenShot2025_0216_223014488,2,0
ScreenShot2025_0218_012034214,1,0
ScreenShot2025_0218_012222488,0,0
ScreenShot2025_0218_012316360,0,0
ScreenShot2025_0218_012539310,0,0
ScreenShot2025_0218_012636021,0,0
ScreenShot2025_0218_013222177,1,0
ScreenShot2025_0218_013755825,1,0
ScreenShot2025_0218_013959469,1,0
ScreenShot2025_0218_014118061,1,0
ScreenShot2025_0219_235652112,4,0
ScreenShot2025_0219_235652392,4,0
ScreenShot2025_0219_235652581,4,0
ScreenShot2025_0219_235652802,4,0
ScreenShot2025_0219_235653100,4,0
ScreenShot2025_0223_150032117,3,0
ScreenShot2025_0223_154226548,3,0
ScreenShot2025_0224_223605957,1,0
ScreenShot2025_0228_215457686,1,0
ScreenShot2025_0228_221426221,1,0
ScreenShot2025_0228_221905883,1,0
ScreenShot2025_0228_221911349,1,0
ScreenShot2025_0302_000221543,1,0
ScreenShot2025_0303_231743784,2,0
ScreenShot2025_0304_230304386,2,0
ScreenShot2025_0306_201837076,1,0
ScreenShot2025_0306_204500243,7,0
ScreenShot2025_0306_235652614,4,0
ScreenShot2025_0307_201850786,2,0
ScreenShot2025_0308_092841030,1,0
ScreenShot2025_0308_111627029,2,0
ScreenShot2025_0310_224208281,3,0
ScreenShot2025_0311_220844817,1,0
ScreenShot2025_0315_003334417,3,0
ScreenShot2025_0315_003334784,3,0
ScreenShot2025_0315_003335000,3,0
ScreenShot2025_0315_003335186,3,0
ScreenShot2025_0315_004625649,2,0
ScreenShot2025_0316_024549641,1,0
ScreenShot2025_0316_114458033,4,0
ScreenShot2025_0317_223821011,1,0
ScreenShot2025_0322_095015282,1,0
ScreenShot2025_0322_100556538,0,0
ScreenShot2025_0328_010152407,4,0
ScreenShot2025_0328_230417555,3,0
ScreenShot2025_0328_231459122,2,0
ScreenShot2025_0329_173043403,1,0
ScreenShot2025_0329_173407644,1,0
ScreenShot2025_0330_021647601,2,0
ScreenShot2025_0330_184852184,1,0
ScreenShot2025_0330_193624129,2,0
ScreenShot2025_0330_194616507,2,0
ScreenShot2025_0401_001756833,2,0
ScreenShot2025_0401_001758794,2,0
ScreenShot2025_0401_001948482,1,0
ScreenShot2025_0401_003441626,2,0
ScreenShot2025_0401_014033756,1,0
ScreenShot2025_0402_074447497,1,0
ScreenShot2025_0403_204458778,1,0
ScreenShot2025_0403_204517660,1,0
ScreenShot2025_0403_232524353,1,0
ScreenShot2025_0405_000547458,1,0
